ITEM ID;GROUP;SUBGROUP;TIER;ENCHANTMENT;REQUIREMENT 1;AMT 1;REQUIREMENT 2;AMT 2;REQUIREMENT 3;AMT 3;;;;;;
T1_FARM_CARROT_SEED;farmables;seed;1;0;;;;;;;;;;;;
T2_FARM_BEAN_SEED;farmables;seed;2;0;;;;;;;;;;;;
T3_FARM_WHEAT_SEED;farmables;seed;3;0;;;;;;;;;;;;
T4_FARM_TURNIP_SEED;farmables;seed;4;0;;;;;;;;;;;;
T5_FARM_CABBAGE_SEED;farmables;seed;5;0;;;;;;;;;;;;
T6_FARM_POTATO_SEED;farmables;seed;6;0;;;;;;;;;;;;
T7_FARM_CORN_SEED;farmables;seed;7;0;;;;;;;;;;;;
T8_FARM_PUMPKIN_SEED;farmables;seed;8;0;;;;;;;;;;;;
T2_FARM_AGARIC_SEED;farmables;seed;2;0;;;;;;;;;;;;
T3_FARM_COMFREY_SEED;farmables;seed;3;0;;;;;;;;;;;;
T4_FARM_BURDOCK_SEED;farmables;seed;4;0;;;;;;;;;;;;
T5_FARM_TEASEL_SEED;farmables;seed;5;0;;;;;;;;;;;;
T6_FARM_FOXGLOVE_SEED;farmables;seed;6;0;;;;;;;;;;;;
T7_FARM_MULLEIN_SEED;farmables;seed;7;0;;;;;;;;;;;;
T8_FARM_YARROW_SEED;farmables;seed;8;0;;;;;;;;;;;;
T3_FARM_OX_BABY;farmables;animals;3;0;;;;;;;;;;;;
T4_FARM_OX_BABY;farmables;animals;4;0;;;;;;;;;;;;
T5_FARM_OX_BABY;farmables;animals;5;0;;;;;;;;;;;;
T6_FARM_OX_BABY;farmables;animals;6;0;;;;;;;;;;;;
T7_FARM_OX_BABY;farmables;animals;7;0;;;;;;;;;;;;
T8_FARM_OX_BABY;farmables;animals;8;0;;;;;;;;;;;;
T3_FARM_OX_GROWN;products;animals;3;0;;;;;;;;;;;;
T4_FARM_OX_GROWN;products;animals;4;0;;;;;;;;;;;;
T5_FARM_OX_GROWN;products;animals;5;0;;;;;;;;;;;;
T6_FARM_OX_GROWN;products;animals;6;0;;;;;;;;;;;;
T7_FARM_OX_GROWN;products;animals;7;0;;;;;;;;;;;;
T8_FARM_OX_GROWN;products;animals;8;0;;;;;;;;;;;;
T3_FARM_HORSE_BABY;farmables;animals;3;0;;;;;;;;;;;;
T4_FARM_HORSE_BABY;farmables;animals;4;0;;;;;;;;;;;;
T5_FARM_HORSE_BABY;farmables;animals;5;0;;;;;;;;;;;;
T6_FARM_HORSE_BABY;farmables;animals;6;0;;;;;;;;;;;;
T7_FARM_HORSE_BABY;farmables;animals;7;0;;;;;;;;;;;;
T8_FARM_HORSE_BABY;farmables;animals;8;0;;;;;;;;;;;;
T3_FARM_HORSE_GROWN;products;animals;3;0;;;;;;;;;;;;
T4_FARM_HORSE_GROWN;products;animals;4;0;;;;;;;;;;;;
T5_FARM_HORSE_GROWN;products;animals;5;0;;;;;;;;;;;;
T6_FARM_HORSE_GROWN;products;animals;6;0;;;;;;;;;;;;
T7_FARM_HORSE_GROWN;products;animals;7;0;;;;;;;;;;;;
T8_FARM_HORSE_GROWN;products;animals;8;0;;;;;;;;;;;;
T6_FARM_DIREWOLF_BABY;farmables;animals;6;0;;;;;;;;;;;;
T7_FARM_DIREBOAR_BABY;farmables;animals;7;0;;;;;;;;;;;;
T8_FARM_DIREBEAR_BABY;farmables;animals;8;0;;;;;;;;;;;;
T7_FARM_SWAMPDRAGON_BABY;farmables;animals;7;0;;;;;;;;;;;;
T8_FARM_MAMMOTH_BABY;farmables;animals;8;0;;;;;;;;;;;;
T5_FARM_COUGAR_BABY;farmables;animals;5;0;;;;;;;;;;;;
T8_FARM_DIREWOLF_BABY;farmables;animals;8;0;;;;;;;;;;;;
T4_FARM_GIANTSTAG_BABY;farmables;animals;4;0;;;;;;;;;;;;
T6_FARM_GIANTSTAG_BABY;farmables;animals;6;0;;;;;;;;;;;;
T6_FARM_DIREWOLF_GROWN;products;animals;6;0;;;;;;;;;;;;
T7_FARM_DIREBOAR_GROWN;products;animals;7;0;;;;;;;;;;;;
T8_FARM_DIREBEAR_GROWN;products;animals;8;0;;;;;;;;;;;;
T7_FARM_SWAMPDRAGON_GROWN;products;animals;7;0;;;;;;;;;;;;
T8_FARM_MAMMOTH_GROWN;products;animals;8;0;;;;;;;;;;;;
T5_FARM_COUGAR_GROWN;products;animals;5;0;;;;;;;;;;;;
T8_FARM_DIREWOLF_GROWN;products;animals;8;0;;;;;;;;;;;;
T4_FARM_GIANTSTAG_GROWN;products;animals;4;0;;;;;;;;;;;;
T6_FARM_GIANTSTAG_GROWN;products;animals;6;0;;;;;;;;;;;;
T3_FARM_CHICKEN_BABY;farmables;animals;3;0;;;;;;;;;;;;
T4_FARM_GOAT_BABY;farmables;animals;4;0;;;;;;;;;;;;
T5_FARM_GOOSE_BABY;farmables;animals;5;0;;;;;;;;;;;;
T6_FARM_SHEEP_BABY;farmables;animals;6;0;;;;;;;;;;;;
T7_FARM_PIG_BABY;farmables;animals;7;0;;;;;;;;;;;;
T8_FARM_COW_BABY;farmables;animals;8;0;;;;;;;;;;;;
T3_FARM_CHICKEN_GROWN;products;animals;3;0;;;;;;;;;;;;
T4_FARM_GOAT_GROWN;products;animals;4;0;;;;;;;;;;;;
T5_FARM_GOOSE_GROWN;products;animals;5;0;;;;;;;;;;;;
T6_FARM_SHEEP_GROWN;products;animals;6;0;;;;;;;;;;;;
T7_FARM_PIG_GROWN;products;animals;7;0;;;;;;;;;;;;
T8_FARM_COW_GROWN;products;animals;8;0;;;;;;;;;;;;
T6_MOUNTUPGRADE_GIANTSTAG_XMAS;products;animals;6;0;;;;;;;;;;;;
UNIQUE_MOUNTUPGRADE_RAM_XMAS;products;animals;3;0;;;;;;;;;;;;
T5_MOUNTUPGRADE_HORSE_CURSE;products;animals;5;0;;;;;;;;;;;;
T8_MOUNTUPGRADE_HORSE_CURSE;products;animals;8;0;;;;;;;;;;;;
T8_MOUNTUPGRADE_COUGAR_KEEPER;products;animals;8;0;;;;;;;;;;;;
T5_MOUNTUPGRADE_HORSE_MORGANA;products;animals;5;0;;;;;;;;;;;;
T8_MOUNTUPGRADE_HORSE_MORGANA;products;animals;8;0;;;;;;;;;;;;
T8_MOUNTUPGRADE_COMMAND_MAMMOTH;products;animals;8;0;;;;;;;;;;;;
T1_CARROT;products;farming;1;0;;;;;;;;;;;;
T2_BEAN;products;farming;2;0;;;;;;;;;;;;
T3_WHEAT;products;farming;3;0;;;;;;;;;;;;
T4_TURNIP;products;farming;4;0;;;;;;;;;;;;
T5_CABBAGE;products;farming;5;0;;;;;;;;;;;;
T6_POTATO;products;farming;6;0;;;;;;;;;;;;
T7_CORN;products;farming;7;0;;;;;;;;;;;;
T8_PUMPKIN;products;farming;8;0;;;;;;;;;;;;
T2_AGARIC;products;farming;2;0;;;;;;;;;;;;
T3_COMFREY;products;farming;3;0;;;;;;;;;;;;
T4_BURDOCK;products;farming;4;0;;;;;;;;;;;;
T5_TEASEL;products;farming;5;0;;;;;;;;;;;;
T6_FOXGLOVE;products;farming;6;0;;;;;;;;;;;;
T7_MULLEIN;products;farming;7;0;;;;;;;;;;;;
T8_YARROW;products;farming;8;0;;;;;;;;;;;;
T3_EGG;products;farming;3;0;;;;;;;;;;;;
T4_MILK;products;farming;4;0;;;;;;;;;;;;
T5_EGG;products;farming;5;0;;;;;;;;;;;;
T6_MILK;products;farming;6;0;;;;;;;;;;;;
T8_MILK;products;farming;8;0;;;;;;;;;;;;
